seq,ts_code,symbol,name,area,industry,market,list_date
2882,600156.SH,600156,华升股份,湖南,纺织,主板,19980527
2883,600157.SH,600157,永泰能源,山西,火力发电,主板,19980513
2884,600158.SH,600158,中体产业,天津,文教休闲,主板,19980327
2885,600159.SH,600159,大龙地产,北京,区域地产,主板,19980526
2886,600160.SH,600160,巨化股份,浙江,化工原料,主板,19980626
2887,600161.SH,600161,天坛生物,北京,生物制药,主板,19980616
2888,600162.SH,600162,香江控股,深圳,全国地产,主板,19980609
2889,600163.SH,600163,中闽能源,福建,新型电力,主板,19980602
2890,600165.SH,600165,宁科生物,宁夏,化工原料,主板,19980529
2891,600166.SH,600166,福田汽车,北京,汽车整车,主板,19980602
2892,600167.SH,600167,联美控股,辽宁,供气供热,主板,19990128
2893,600168.SH,600168,武汉控股,湖北,水务,主板,19980427
2894,600169.SH,600169,太原重工,山西,工程机械,主板,19980904
2895,600170.SH,600170,上海建工,上海,建筑工程,主板,19980623
2896,600171.SH,600171,上海贝岭,上海,半导体,主板,19980924
2897,600172.SH,600172,黄河旋风,河南,矿物制品,主板,19981126
2898,600173.SH,600173,卧龙地产,浙江,全国地产,主板,19990415
2899,600176.SH,600176,中国巨石,浙江,玻璃,主板,19990422
2900,600177.SH,600177,雅戈尔,浙江,服饰,主板,19981119
2901,600178.SH,600178,东安动力,黑龙江,汽车配件,主板,19981014
2902,600179.SH,600179,安通控股,黑龙江,仓储物流,主板,19981104
2903,600180.SH,600180,瑞茂通,山东,仓储物流,主板,19980703
2904,600182.SH,600182,S*ST佳通,黑龙江,汽车配件,主板,19990507
2905,600183.SH,600183,生益科技,广东,元器件,主板,19981028
2906,600184.SH,600184,光电股份,湖北,专用机械,主板,20031106
2907,600185.SH,600185,格力地产,广东,区域地产,主板,19990611
2908,600186.SH,600186,莲花健康,河南,食品,主板,19980825
2909,600187.SH,600187,国中水务,黑龙江,水务,主板,19981111
2910,600188.SH,600188,兖矿能源,山东,煤炭开采,主板,19980701
2911,600189.SH,600189,泉阳泉,吉林,软饮料,主板,19981007
2912,600190.SH,600190,锦州港,辽宁,港口,主板,19990609
2913,600191.SH,600191,华资实业,内蒙,食品,主板,19981210
2914,600192.SH,600192,长城电工,甘肃,电气设备,主板,19981224
2915,600193.SH,600193,创兴资源,上海,装修装饰,主板,19990527
